"","PU_4Km_ID","raw_score","obs_score","UpperOceanSR","depth","max_depth","dive_samps","hook_samps","mid_samps","deep_samps","normalized_obs_score","normalized_score","sponge_rank","sponge_hotspot","sponge_hotspot2"
"68",8160,0.60734649717029,0.541666666666667,"(11) Mainland Fjords",23.6,30,10,0,0,0,0.541666666666667,0.60734649717029,10,1,1
"69",8165,0.265100970915528,0.0833333333333333,"(11) Mainland Fjords",16,28,3,0,0,0,0.0833333333333333,0.265100970915528,8,0,1
"70",8168,0.328153480076127,0.166666666666667,"(11) Mainland Fjords",16,25,3,0,0,0,0.166666666666667,0.328153480076127,9,0,1
"71",8312,0.00915963954541524,0,"(13) Eastern Queen Charlotte Sound",55.4,105.6,0,0,3,0,0,0.00915963954541524,4,0,0
"72",8313,0.00376051126379957,0,"(11) Mainland Fjords",24.854873475,44.33333333,2,0,7,0,0,0.00376051126379957,4,0,0
"73",8314,0.00201399615325343,0,"(11) Mainland Fjords",25.739954885,46.81698113,8,0,4,0,0,0.00201399615325343,4,0,0
"74",8315,1,0.433860911537095,"(11) Mainland Fjords",50.4373258804167,140.5865177,8,0,24,0,0.433860911537095,1,10,1,1
"75",8316,0.0918420887126241,0.0320282022658445,"(11) Mainland Fjords",46.24988095125,98.0047619,8,0,4,0,0.0320282022658445,0.0918420887126241,6,0,1
"76",8318,0.213445289151053,0.184164339443104,"(11) Mainland Fjords",27.213232781,40.46857143,5,0,5,0,0.184164339443104,0.213445289151053,8,0,1
"77",8326,0.577961817943158,0.18490721347211,"(11) Mainland Fjords",30.9947238092857,58.2168,6,0,7,0,0.18490721347211,0.577961817943158,10,1,1
"78",8470,0.00330321461510682,0,"(13) Eastern Queen Charlotte Sound",27.7389222935714,45.58367347,7,0,7,0,0,0.00330321461510682,4,0,0
"79",8473,0.150597577826491,0.0555555555555556,"(11) Mainland Fjords",17.1538461538462,31,13,0,0,0,0.0555555555555556,0.150597577826491,7,0,1
"80",8476,0.0876080837434365,0.0138888888888889,"(11) Mainland Fjords",36.4499398227778,75.7,16,0,9,0,0.0138888888888889,0.0876080837434365,6,0,1
"81",8484,0.227284272553142,0.125,"(11) Mainland Fjords",53.35,87.7,3,0,1,0,0.125,0.227284272553142,8,0,1
"82",8625,0.0133186788318129,0,"(13) Eastern Queen Charlotte Sound",123.9268094,130.4032787,0,0,2,0,0,0.0133186788318129,5,0,1
"83",8628,0.00792886276058152,0,"(13) Eastern Queen Charlotte Sound",39.6591613366667,59.22,4,0,3,0,0,0.00792886276058152,4,0,0
"84",8629,9.55990382033369e-05,0,"(11) Mainland Fjords",17,30,9,0,0,0,0,9.55990382033369e-05,3,0,0
"85",8630,0.163019254140305,0.116406849267845,"(11) Mainland Fjords",93.7896418775,115.9285714,0,0,4,0,0.116406849267845,0.163019254140305,7,0,1
"86",8632,0.000289028196419461,0,"(11) Mainland Fjords",19,32,5,0,0,0,0,0.000289028196419461,3,0,0
"87",8634,0.14139956405216,0.0277777777777778,"(11) Mainland Fjords",17.8333333333333,31,6,0,0,0,0.0277777777777778,0.14139956405216,7,0,1
