Dive_Bin,X4km2grid,binArea,AvgDepth,Aphrocallistidae,Boot.sponge,Chrysopathes,Farrea,Mycale,Paragorgia,Primnoa,Swiftia,Stylaster,Greenstriped rockfish,Quillback rockfish,Redbanded rockfish,Redstriped rockfish,Rosethorn rockfish,Sebastolobus alascanus,Sharpchin rockfish,Shortraker rockfish,Tiger rockfish,Yelloweye rockfish,X1km2grid,UpperOceanSR
B053_17,9108,120.3222644,196.755057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36598,(11) Mainland Fjords
B053_18,9108,119.878049,201.7664608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36598,(11) Mainland Fjords
B053_19,9108,121.9053225,206.7811421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,36598,(11) Mainland Fjords
B053_21,9108,120.0203622,191.3622174,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36598,(11) Mainland Fjords
B053_22,9108,91.87048542,177.5707844,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,36598,(11) Mainland Fjords
B052_1,9265,121.6909307,302.8878853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37302,(11) Mainland Fjords
B052_10,9265,121.5334358,399.4645864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37302,(11) Mainland Fjords
B052_11,9265,121.872854,404.7905292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37302,(11) Mainland Fjords
B052_12,9265,121.8739009,408.2872518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37302,(11) Mainland Fjords
B052_13,9265,121.8186784,409.9881864,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,37302,(11) Mainland Fjords
B052_14,9265,119.8594717,410.4123295,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,37302,(11) Mainland Fjords
B052_15,9265,121.6362506,412.405629,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37302,(11) Mainland Fjords
B052_16,9265,119.7959414,413.9623552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37302,(11) Mainland Fjords
B052_17,9265,121.6414326,415.9149888,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,37302,(11) Mainland Fjords
B052_18,9265,121.8174215,418.052568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37302,(11) Mainland Fjords
B052_19,9265,121.8549099,420.067907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37302,(11) Mainland Fjords
B052_20,9265,121.3761549,420.6160761,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37302,(11) Mainland Fjords
B052_21,9265,121.8130699,419.5593131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37302,(11) Mainland Fjords
B052_22,9265,121.8723826,416.7630752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37302,(11) Mainland Fjords
B052_23,9265,120.1596909,411.9710704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37302,(11) Mainland Fjords
B052_24,9265,120.1078741,403.2437261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37302,(11) Mainland Fjords
B052_25,9265,120.2902581,396.2462642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37302,(11) Mainland Fjords
B052_26,9265,121.0622765,395.4779353,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37302,(11) Mainland Fjords
B052_27,9265,119.0566839,395.7081959,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,37302,(11) Mainland Fjords
B052_28,9265,121.125468,395.5926368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37302,(11) Mainland Fjords
B052_29,9265,119.5464181,387.109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37302,(11) Mainland Fjords
B052_3,9265,120.8166372,351.6608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37302,(11) Mainland Fjords
B052_30,9265,120.8428742,373.712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37302,(11) Mainland Fjords
B052_31,9265,120.5642635,367.1945,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37302,(11) Mainland Fjords
B052_32,9265,120.5530868,368.6830508,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,37302,(11) Mainland Fjords
B052_33,9265,120.7148963,368.1338425,1,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,37302,(11) Mainland Fjords
