binGrp,coralFix,area.m2,black,bocaccio,brown,canary,china,copper,deacon,dusky,greenstripe,puget.sound,pygmy,quillback,redstripe,rosethorn,sharpchin,silvergray,splitnose,stripetail,tiger,vermillion,widow,yelloweye,yellowtail,blackspotted,shortraker,shortbelly,depth,Glass.sponge.cover,Paragorgia.Pac_count,Stylaster_count,CalcigorgiaNew,ParagorgiaNew,StylasterNew,PU_1Km_ID,PU_4Km_ID,UpperOceanSR
T_111_2,FALSE,27.3214,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,19,0,0,0,,,,51809,11460,(13) Eastern Queen Charlotte Sound
T_111_3,FALSE,86.0271,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,26.6,0,0,0,,,,51809,11460,(13) Eastern Queen Charlotte Sound
T_111_4,FALSE,77.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,30.75,0,0,0,,,,51809,11460,(13) Eastern Queen Charlotte Sound
T_111_5,FALSE,37.8193,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,39.93333333,0,0,0,,,,51809,11460,(13) Eastern Queen Charlotte Sound
T_111_6,FALSE,28.3275,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,NA,NA,NA,44.975,0,0,0,,,,51809,11460,(13) Eastern Queen Charlotte Sound
T_111_7,FALSE,82.4793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,45.3,0,0,0,,,,51809,11460,(13) Eastern Queen Charlotte Sound
T_112_1,FALSE,106.3251,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,32.29473684,0,0,0,,,,51284,11302,(13) Eastern Queen Charlotte Sound
T_112_2,FALSE,44.8639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,52.72222222,1,0,0,,,,51284,11302,(13) Eastern Queen Charlotte Sound
T_112_3,FALSE,118.5514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,59.92258065,1,0,0,,,,51284,11302,(13) Eastern Queen Charlotte Sound
T_112_4,FALSE,100.8582,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,62.71969697,0.090909091,0,0,,,,51284,11302,(13) Eastern Queen Charlotte Sound
