"","PU_1Km_ID","raw_score","UpperOceanSR","PU_4Km_ID","depth","max_depth","dive_samps","hook_samps","mid_samps","deep_samps","normalized_score","coral_rank","coral_hotspot"
"122",29401,9.06312374256129e-06,"(11) Mainland Fjords",7846,27.5,33,2,0,0,0,8.2623441939262e-06,4,0
"123",29417,1.36155460175469e-05,"(11) Mainland Fjords",7852,27,30,2,0,0,0,1.24125335569369e-05,7,0
"124",29606,1.3111591269277e-05,"(11) Mainland Fjords",7843,28.5,32,2,0,0,0,1.19531061336066e-05,7,0
"125",29612,2.90379192252789e-07,"(11) Mainland Fjords",7845,38.5476657708333,41.8,0,0,3,0,2.64722506422358e-07,1,0
"126",29613,2.089369743504e-05,"(11) Mainland Fjords",7845,25.597342455,36.92370717,1,0,2,0,1.9047618083527e-05,9,1
"127",29614,1.36155460175469e-05,"(11) Mainland Fjords",7845,27,30,2,0,0,0,1.24125335569369e-05,7,0
"128",29623,6.20405759790588e-07,"(11) Mainland Fjords",7850,71,71,0,0,1,0,5.65589312569123e-07,2,0
"129",29625,1.69392132365874e-05,"(11) Mainland Fjords",7851,22,22,1,0,0,0,1.54425354999559e-05,9,1
"130",29830,8.615845258985e-06,"(11) Mainland Fjords",7843,27.5833333333333,30,3,0,0,0,7.85458535858227e-06,4,0
"131",29831,1.36155460175469e-05,"(11) Mainland Fjords",7843,27,30,2,0,0,0,1.24125335569369e-05,7,0
"132",29853,1.01666186182427e-05,"(11) Mainland Fjords",7852,30,30,1,0,0,0,9.26833889708767e-06,5,0
"133",29854,1.36155460175469e-05,"(11) Mainland Fjords",7852,27,30,2,0,0,0,1.24125335569369e-05,7,0
"134",29859,0.000101715220772722,"(11) Mainland Fjords",7853,27,30,2,0,0,0,9.27280910707188e-05,10,1
"135",30049,6.75741948275125e-06,"(11) Mainland Fjords",7999,24.4166666666667,30,4,0,0,0,6.16036227852e-06,3,0
"136",30053,8.67593871430964e-06,"(11) Mainland Fjords",8000,27.5833333333333,32,3,0,0,0,7.90936920858785e-06,4,0
"137",30058,9.19137230977841e-06,"(11) Mainland Fjords",8001,58.8476111111905,134.06,2,0,5,0,8.37926125638995e-06,4,0
"138",30065,1.08500983393347e-05,"(11) Mainland Fjords",8003,29,29,1,0,0,0,9.89142922064917e-06,5,0
"139",30075,1.06925305387368e-05,"(11) Mainland Fjords",8010,25,30,2,0,0,0,9.74778344912499e-06,5,0
"140",30285,1.5197762930642e-05,"(11) Mainland Fjords",8002,23.25,25,2,0,0,0,1.3854952428926e-05,9,1
"141",30499,1.28834780738579e-05,"(11) Mainland Fjords",8001,29.25,33,2,0,0,0,1.17451480620558e-05,6,0
"142",30715,1.06925305387368e-05,"(13) Eastern Queen Charlotte Sound",7997,25,30,2,0,0,0,9.74778344912499e-06,5,0
"143",30716,5.76580382177155e-08,"(13) Eastern Queen Charlotte Sound",7997,35.53333333,35.53333333,0,0,1,0,5.2563616125436e-08,1,0
"144",30743,1.23441569225863e-05,"(11) Mainland Fjords",8009,27,27,1,0,0,0,1.12534790625535e-05,6,0
