"","PU_4Km_ID","raw_score","obs_score","UpperOceanSR","depth","max_depth","dive_samps","hook_samps","mid_samps","deep_samps","normalized_obs_score","normalized_score","coral_rank","coral_hotspot","coral_hotspot2"
"95",8940,2.43288111983622e-08,0,"(13) Eastern Queen Charlotte Sound",25,25,1,0,0,0,0,2.14160594860925e-08,4,0,0
"96",8941,0.0279977310405051,0.0277392510402219,"(13) Eastern Queen Charlotte Sound",25,29,4,0,0,0,0.0244791359879145,0.0246457201936542,10,1,1
"97",8944,6.12913090794797e-07,0,"(13) Eastern Queen Charlotte Sound",41.250126942,62.65454545,3,0,6,0,0,5.39532454144321e-07,7,0,0
"98",8950,0.0210348873548149,0.0223430538500726,"(11) Mainland Fjords",28.4,33,5,0,0,0,0.0197171384616031,0.0185164986156125,10,1,1
"99",9097,2.38186324919973e-08,0,"(13) Eastern Queen Charlotte Sound",27,30,2,0,0,0,0,2.09669616064236e-08,4,0,0
"100",9098,2.67291684832588e-08,0,"(13) Eastern Queen Charlotte Sound",22.5833333333333,27,3,0,0,0,0,2.3529035495569e-08,6,0,0
"101",9099,2.69163801177154e-08,0,"(13) Eastern Queen Charlotte Sound",22.5833333333333,24,3,0,0,0,0,2.36938333341202e-08,6,0,0
"102",9102,1.29288090892515e-06,0,"(13) Eastern Queen Charlotte Sound",43.6664950905093,78.14791667,10,0,9,0,0,1.13809155031128e-06,7,0,0
"103",9108,0.0167365860580066,0.0219580914222072,"(11) Mainland Fjords",124.552736870095,206.7811421,4,0,1,21,0.0193774195698316,0.0147328087546055,10,1,1
"104",9109,2.30338639286607e-08,0,"(11) Mainland Fjords",26.4583333333333,33,4,0,0,0,0,2.02761489687571e-08,3,0,0
"105",9110,1.96844085994081e-08,0,"(11) Mainland Fjords",29,29,1,0,0,0,0,1.73277050849839e-08,1,0,0
"106",9257,2.41717599071715e-08,0,"(13) Eastern Queen Charlotte Sound",25.0833333333333,33,3,0,0,0,0,2.12778110625635e-08,4,0,0
"107",9259,2.15151075772596e-08,0,"(13) Eastern Queen Charlotte Sound",25,30,6,0,0,0,0,1.89392247721208e-08,2,0,0
"108",9260,2.11788997600411e-08,0,"(13) Eastern Queen Charlotte Sound",26.4285714285714,33,7,0,0,0,0,1.86432692256482e-08,2,0,0
"109",9265,0.0156997406380319,0.0145281697607104,"(11) Mainland Fjords",403.88491974,448.3930164,0,0,0,15,0.0128207154083671,0.0138200990043833,10,1,1
"110",9266,0.0852265920450995,0.0963436952272695,"(11) Mainland Fjords",53.0598862467619,162.9,5,0,10,0,0.0850206955345269,0.0750228915894444,10,1,1
"111",9267,2.33613315515428e-08,0,"(11) Mainland Fjords",24.5,29,2,0,0,0,0,2.05644107351966e-08,4,0,0
"112",9268,2.09148454660234e-08,0,"(11) Mainland Fjords",28,28,1,0,0,0,0,1.84108286669158e-08,1,0,0
"113",9269,0.000183502464645462,0.00018956627236882,"(11) Mainland Fjords",26.4166666666667,32,6,0,0,0,0.000167287089089383,0.000161532746777054,9,0,0
"114",9415,1.96844085994081e-08,0,"(13) Eastern Queen Charlotte Sound",29,29,1,0,0,0,0,1.73277050849839e-08,1,0,0
"115",9418,2.17349440463981e-08,0,"(13) Eastern Queen Charlotte Sound",27.9166666666667,30,4,0,0,0,0,1.91327414574161e-08,2,0,0
"116",9419,2.38186324919973e-08,0,"(11) Mainland Fjords",27,30,2,0,0,0,0,2.09669616064236e-08,4,0,0
"117",9428,2.09148454660234e-08,0,"(11) Mainland Fjords",28,28,1,0,0,0,0,1.84108286669158e-08,1,0,0
"118",9445,2.09148454660234e-08,0,"(11) Mainland Fjords",28,28,1,0,0,0,0,1.84108286669158e-08,2,0,0
"119",9573,2.19235792496089e-08,0,"(13) Eastern Queen Charlotte Sound",26.75,30,3,0,0,0,0,1.92987924288423e-08,2,0,0
"120",9574,2.43285967234057e-08,0,"(13) Eastern Queen Charlotte Sound",24,25,2,0,0,0,0,2.14158706890161e-08,4,0,0
"121",9575,4.75139381750577e-08,0,"(13) Eastern Queen Charlotte Sound",26.7119444433334,28.13222222,4,0,1,0,0,4.18253616290161e-08,6,0,0
"122",9586,0.000184613378354742,0.00018956627236882,"(11) Mainland Fjords",48.1407848311111,88.4,2,0,6,0,0.000167287089089383,0.000162510657036947,9,0,0
"123",9730,2.58644490008949e-08,0,"(13) Eastern Queen Charlotte Sound",24.375,28,4,0,0,0,0,2.27678440126766e-08,5,0,0
"124",9731,2.09148454660234e-08,0,"(13) Eastern Queen Charlotte Sound",28,28,1,0,0,0,0,1.84108286669158e-08,2,0,0
"125",9732,1.27563047445753e-07,0,"(13) Eastern Queen Charlotte Sound",32.3140918894444,41.0537037,10,0,6,0,0,1.12290641332668e-07,6,0,0
"126",9733,5.20400455898555e-06,0,"(13) Eastern Queen Charlotte Sound",81.6418238457141,138.4,4,0,14,0,0,4.58095836629427e-06,9,0,0
"127",9734,2.33568051131243e-06,0,"(13) Eastern Queen Charlotte Sound",72.1554180076263,102.3,0,0,12,0,0,2.05604262217881e-06,8,0,0
"128",9736,3.21920683267294e-06,0,"(11) Mainland Fjords",61.6986739359788,149.1285714,2,0,9,0,0,2.83378930702542e-06,8,0,0
"129",9737,2.60143103981974e-06,0,"(11) Mainland Fjords",67.3022164386111,91.80689655,0,0,6,0,0,2.28997633478686e-06,8,0,0
"130",9739,5.11043238134942e-06,0,"(11) Mainland Fjords",98.2969487342857,169.8521167,0,0,7,0,0,4.49858905913168e-06,9,0,0
"131",9740,2.45654028618135e-08,0,"(11) Mainland Fjords",23.5,27,2,0,0,0,0,2.16243253605355e-08,5,0,0
"132",9741,0.0567119747144764,0.0554785020804438,"(11) Mainland Fjords",49.3543530544444,85.2,2,0,9,0,0.0489582719758289,0.04992216899364,10,1,1
"133",9745,2.50368329352215e-08,0,"(11) Mainland Fjords",25.5,28,2,0,0,0,0,2.20393137631057e-08,5,0,0
"134",9889,2.40862380355612e-08,0,"(13) Eastern Queen Charlotte Sound",25.2,29,5,0,0,0,0,2.12025282435702e-08,4,0,0
"135",9890,7.7965091923859e-07,0,"(13) Eastern Queen Charlotte Sound",42.3447454631217,75.89571429,2,0,9,0,0,6.86307700309022e-07,7,0,0
"136",9891,1.94000083559315e-08,0,"(13) Eastern Queen Charlotte Sound",26.25,32,4,0,0,0,0,1.7077354482873e-08,1,0,0
"137",9895,2.43592442728325e-07,0,"(11) Mainland Fjords",33.57258014,43.05202958,2,0,4,0,0,2.14428489797462e-07,6,0,0
"138",9904,1.90822688028515e-08,0,"(11) Mainland Fjords",28,34,2,0,0,0,0,1.67976560991598e-08,1,0,0
"139",9905,3.52737719279239e-06,0,"(11) Mainland Fjords",86.2046863219048,132.25,0,0,16,0,0,3.10506416342337e-06,8,0,0
"140",9906,4.42183414848653e-06,0,"(11) Mainland Fjords",97.425888892,142.775,0,0,10,0,0,3.89243281924099e-06,8,0,0
"141",9917,2.32374112502832e-08,0,"(11) Mainland Fjords",26,26,1,0,0,0,0,2.04553267145401e-08,4,0,0
"142",9918,1.43107670793795e-08,0,"(11) Mainland Fjords",33,33,1,0,0,0,0,1.25974194367639e-08,1,0,0
"143",10046,2.29669986514384e-08,0,"(13) Eastern Queen Charlotte Sound",25.5,30,4,0,0,0,0,2.02172890950513e-08,3,0,0
"144",10062,2.18500377688383e-08,0,"(11) Mainland Fjords",26,30,2,0,0,0,0,1.92340556558847e-08,2,0,0
"145",10063,2.27251416328746e-08,0,"(11) Mainland Fjords",25,30,2,0,0,0,0,2.00043882568451e-08,3,0,0
"146",10074,2.53731595376008e-08,0,"(11) Mainland Fjords",24,24,1,0,0,0,0,2.233537387326e-08,5,0,0
"147",10075,2.55079246068418e-08,0,"(11) Mainland Fjords",24.75,30,4,0,0,0,0,2.24540042788306e-08,5,0,0
